Index,Word,POS,Meaning
1,a few,限定詞,一些（用於可數）
2,a little,限定詞,一點（用於不可數）
3,a lot,副詞,很多
4,able,形容詞,能夠的
5,about,介系詞,關於；大約
6,above,介系詞,在…上面
7,abroad,副詞,在國外
8,absent,形容詞,缺席的
9,accept,動詞,接受
10,accident,名詞,事故
11,across,介系詞,橫越
12,act,動詞,表演；行動
13,action,名詞,行動
14,active,形容詞,活躍的
15,activity,名詞,活動
16,actor,名詞,男演員
17,actress,名詞,女演員
18,actually,副詞,實際上
19,add,動詞,增加
20,admire,動詞,欽佩
21,adult,名詞,成年人
22,advertisement,名詞,廣告
23,advice,名詞,建議
24,advise,動詞,建議
25,affect,動詞,影響
26,afraid,形容詞,害怕的
27,after,介系詞,在…之後
28,afternoon,名詞,下午
29,again,副詞,再次
30,against,介系詞,反對；靠著
31,age,名詞,年齡；時代
32,ago,副詞,以前
33,agree,動詞,同意
34,ahead,副詞,在前面
35,aim,名詞,目標
36,air,名詞,空氣
37,air conditioner,名詞,空調
38,airlines,名詞,航空公司
39,airplane,名詞,飛機
40,airport,名詞,機場
41,alarm,名詞,鬧鐘；警報
42,alarm clock,名詞,鬧鐘
43,album,名詞,相冊；專輯
44,alike,形容詞,相似的
45,alive,形容詞,活著的
46,all,代名詞,全部；所有
47,allow,動詞,允許
48,almost,副詞,幾乎
49,along,介系詞,沿著
50,aloud,副詞,大聲地
51,already,副詞,已經
52,always,副詞,總是
53,ambulance,名詞,救護車
54,American,名詞,美國人
55,among,介系詞,在…之中（三者以上）
56,amount,名詞,數量
57,ancient,形容詞,古代的
58,and,連接詞,和；並且
59,angel,名詞,天使
60,anger,名詞,憤怒
61,angle,名詞,角度
62,angry,形容詞,生氣的
63,animal,名詞,動物
64,ankle,名詞,腳踝
65,another,代名詞,另一個
66,answer,動詞,回答
67,ant,名詞,螞蟻
68,any,限定詞,任何
69,any,代名詞,任何
70,anyone,代名詞,任何人
71,anything,代名詞,任何事
